Cards,Status,Type,Subtype,R,Mana cost,Ability,Flavour Text,Card,COMMENT,Image,Image alt 2,Image alt,image_file_path
AWS Bill,Ready to print,Sorcery,,C,{R},"~ deals 1 damage to each player, each planeswalker, and each creature.
",,,,,,,assets/instant-sorceries/awsbill.png
AWS Outage,Ready to print,Instant,,c,{1}{R},"Until end of turn, creatures lose flying and players can't cast spells or activate abilities that target creatures.","His echoes can still be heard; ""It never goes down!""",,,,,,assets/instant-sorceries/awsoutage.png
Backlog Refinement,Ready to print,Sorcery,,u,{3}{U},Look at the top five cards of your library. Put two of them into your hand and the rest on the bottom of your library in a random order.,,,,,,,assets/instant-sorceries/backlogrefinment.png
Click-Ops,Ready to print,Sorcery,,c,{2},Draw two cards. Skip your next draw step.,,,Centrer art,,,,assets/instant-sorceries/clickops.png
Cloudkiller!,Ready to print,Sorcery,,u,{1}{G}{R},"Chose one, or two if you control a legendary permanent {-}
• {indent}Destroy target creature with flying.{/indent}
• {indent}Draw a card, then discard a card.{/indent}",Who said its so safe to be in the cloud?!,,,,,,assets/creatures/cloudkiller.png
Customer Feedback,Ready to print,Instant,,u,{1}{R}{U},"Chose one, or two if you control a legendary permanent {-} 
• {indent}This deals 3 damage to target permanent.{/indent}
• {indent}Counter target spell with mana value 3 or less.{/indent}",,,,,,,assets/instance-sorceries/customerfeedback.png
Daily Stand-Up,Ready to print,Sorcery,,c,{1}{U},"Draw two cards, then discard a card.","""Nothing new from me.""",,,,,,assets/instant-sorceries/dailystandup.png
Dig Through the Backlog,Ready to print,Sorcery,,u,{1}{B}{G},"Chose one, or two if you control a legendary permanent {-} 
• {indent}Return target creature from you graveyard to hand.{/indent}
• {indent}Target creature deals damage equal to its power to itself.{/indent}",,,,,,,assets/instant-sorceries/digthroughthebacklog.png
Do You Have a Sec?,Ready to print,Instant,,c,{3}{U},"Put target permanent third from the top of its owner's library.
","""It will just take five minutes.""",,,,,,assets/instant-sorceries/doyouhaveasec.png
Don't Be Stupid,Ready to print,Instant,,c,{U}{U},Counter target spell.,,,Center text,,,,assets/instant-sorceries/dontbestupid.png
Endless Scalability,Ready to print,Sorcery,,c,{1}{W},Target up to three tokens you control. Create a copy of each. You may target the same token more than one time.,,,,,,,assets/instant-sorceries/endlessscalability.png
Farewell,Ready to print,Sorcery,,r,{4}{W}{W},"Choose one or more {-}
• Exile all artifacts.
• Exile all creatures.
• Exile all enchantments.
• Exile all graveyards.",Change is the only constant.,,,,,,assets/instant-sorceries/farewell.png
First Commit,Ready to print,Legendary Sorcery,,m,{1}{U},"{i}(You may cast a legendary sorcery only if you control a legendary creature or planeswalker.){/i}
The next artifact spell you cast this turn costs {0} to cast. You still need to pay any colored mana.","Tue Jun 18 07:48:45 2002 : ""New repository initialized by cvs2svn.""",,Could It be green instead?,,,,assets/instant-sorceries/firstcommit.png
Follow Git Conventions,Ready to print,Instant,,c,{B}{U},"Choose one or more {-}
• {indent}Return target creature card from your graveyard to your hand.{/indent}
• {indent}Return target nonland permanent to its owner's hand.{/indent}
If you chose both, sacrifice a permanent.",Feat means feature!,,,,,,assets/instant-sorceries/conventionalcommits.png
Force Push,Ready to print,Sorcery,,c,{B},"Exile target player's graveyard. That player draws a card.
",,,,,,,assets/instant-sorceries/forcepush.png
Friday Release,Ready to print,Sorcery,,u,{1}{R},"Kicker {R}
Goad all Human creatures. {i}(Until your next turn, those creatures attack each combat if able and attack a player other than you if able.){/i}
If ~ was kicked, search your library for a card named Pizza Party, then put it into your hand.","""Wait... It's 4pm?""",,GOAD not clearly defined,,,,assets/instant-sorceries/fridayrelease.png
Git Revert,Ready to print,Sorcery,,u,{B},"Return target creature card from your graveyard to the battlefield under your control. You lose life equal to its mana value.
",,,would need new symbol if uncommon and not common,,,,assets/instant-sorceries/gitrevert.png
